timestamp_ms,x,y,z,timestamp
297492,0.37,0.49,0.0,1970-01-01 00:04:57.492
297505,0.43,0.49,0.06,1970-01-01 00:04:57.505
297518,0.73,0.55,0.06,1970-01-01 00:04:57.518
297532,0.37,0.55,0.06,1970-01-01 00:04:57.532
297545,0.37,0.49,0.06,1970-01-01 00:04:57.545
297558,0.73,0.49,0.06,1970-01-01 00:04:57.558
297571,0.43,0.49,0.06,1970-01-01 00:04:57.571
297584,0.55,0.49,0.06,1970-01-01 00:04:57.584
297597,0.61,0.49,0.06,1970-01-01 00:04:57.597
297609,0.37,0.49,0.0,1970-01-01 00:04:57.609
297622,0.55,0.49,0.06,1970-01-01 00:04:57.622
297635,0.37,0.49,0.06,1970-01-01 00:04:57.635
297648,0.55,0.55,0.06,1970-01-01 00:04:57.648
297661,0.49,0.49,0.06,1970-01-01 00:04:57.661
297674,0.31,0.49,0.06,1970-01-01 00:04:57.674
297687,0.92,0.55,0.06,1970-01-01 00:04:57.687
297700,0.61,0.49,0.06,1970-01-01 00:04:57.700
297713,0.24,0.49,0.06,1970-01-01 00:04:57.713
297726,0.79,0.49,0.0,1970-01-01 00:04:57.726
297740,0.73,0.49,0.06,1970-01-01 00:04:57.740
297753,0.31,0.43,0.0,1970-01-01 00:04:57.753
297766,0.73,0.49,0.06,1970-01-01 00:04:57.766
297779,0.37,0.49,0.0,1970-01-01 00:04:57.779
297791,0.24,0.43,0.06,1970-01-01 00:04:57.791
297804,0.67,0.49,0.06,1970-01-01 00:04:57.804
297817,0.61,0.55,0.06,1970-01-01 00:04:57.817
297830,0.31,0.49,0.0,1970-01-01 00:04:57.830
297843,0.43,0.55,0.06,1970-01-01 00:04:57.843
297856,0.67,0.49,0.06,1970-01-01 00:04:57.856
297869,0.37,0.49,0.0,1970-01-01 00:04:57.869
297882,0.55,0.49,0.06,1970-01-01 00:04:57.882
297895,0.61,0.49,0.06,1970-01-01 00:04:57.895
297908,0.49,0.49,0.06,1970-01-01 00:04:57.908
297921,0.55,0.49,0.06,1970-01-01 00:04:57.921
297934,0.55,0.49,0.0,1970-01-01 00:04:57.934
297947,0.49,0.49,0.06,1970-01-01 00:04:57.947
297961,0.43,0.49,0.0,1970-01-01 00:04:57.961
297974,0.55,0.43,0.0,1970-01-01 00:04:57.974
297986,0.37,0.49,0.0,1970-01-01 00:04:57.986
297999,0.43,0.49,0.06,1970-01-01 00:04:57.999
298013,0.73,0.49,0.06,1970-01-01 00:04:58.013
298028,0.31,0.49,0.06,1970-01-01 00:04:58.028
298042,0.67,0.49,0.06,1970-01-01 00:04:58.042
298055,0.49,0.49,0.06,1970-01-01 00:04:58.055
298068,0.85,0.55,0.06,1970-01-01 00:04:58.068
298081,0.73,0.49,0.06,1970-01-01 00:04:58.081
298094,0.43,0.43,0.06,1970-01-01 00:04:58.094
298107,0.61,0.49,0.0,1970-01-01 00:04:58.107
298120,0.49,0.43,0.06,1970-01-01 00:04:58.120
298134,0.49,0.49,0.0,1970-01-01 00:04:58.134
298147,0.67,0.49,0.06,1970-01-01 00:04:58.147
298160,0.31,0.49,0.06,1970-01-01 00:04:58.160
298173,0.49,0.49,0.06,1970-01-01 00:04:58.173
298187,0.73,0.49,0.12,1970-01-01 00:04:58.187
298200,0.43,0.49,0.06,1970-01-01 00:04:58.200
298213,0.37,0.49,0.06,1970-01-01 00:04:58.213
298226,0.85,0.55,0.06,1970-01-01 00:04:58.226
298239,0.49,0.49,0.06,1970-01-01 00:04:58.239
298252,0.24,0.49,0.0,1970-01-01 00:04:58.252
298265,0.73,0.49,0.0,1970-01-01 00:04:58.265
298277,0.61,0.49,0.06,1970-01-01 00:04:58.277
298290,0.43,0.49,0.06,1970-01-01 00:04:58.290
298303,0.49,0.49,0.0,1970-01-01 00:04:58.303
298317,0.43,0.55,0.06,1970-01-01 00:04:58.317
298330,0.61,0.49,0.06,1970-01-01 00:04:58.330
298343,0.43,0.49,0.06,1970-01-01 00:04:58.343
298356,0.73,0.49,0.06,1970-01-01 00:04:58.356
298369,0.61,0.49,0.06,1970-01-01 00:04:58.369
298382,0.43,0.49,0.0,1970-01-01 00:04:58.382
298395,0.61,0.43,0.06,1970-01-01 00:04:58.395
298408,0.61,0.49,0.06,1970-01-01 00:04:58.408
298421,0.49,0.49,0.06,1970-01-01 00:04:58.421
298434,0.61,0.49,0.0,1970-01-01 00:04:58.434
298447,0.67,0.49,0.06,1970-01-01 00:04:58.447
298460,0.37,0.49,0.06,1970-01-01 00:04:58.460
298473,0.61,0.49,0.06,1970-01-01 00:04:58.473
298486,0.61,0.49,0.06,1970-01-01 00:04:58.486
298499,0.43,0.49,0.06,1970-01-01 00:04:58.499
298512,0.55,0.55,0.06,1970-01-01 00:04:58.512
298525,0.73,0.49,0.06,1970-01-01 00:04:58.525
298538,0.37,0.49,0.06,1970-01-01 00:04:58.538
298551,0.61,0.49,0.06,1970-01-01 00:04:58.551
298566,0.61,0.49,0.06,1970-01-01 00:04:58.566
298580,0.31,0.49,0.06,1970-01-01 00:04:58.580
298595,0.49,0.49,0.0,1970-01-01 00:04:58.595
298608,0.67,0.49,0.06,1970-01-01 00:04:58.608
298622,0.37,0.49,0.06,1970-01-01 00:04:58.622
298635,0.67,0.49,0.06,1970-01-01 00:04:58.635
298648,0.73,0.55,0.06,1970-01-01 00:04:58.648
298661,0.31,0.49,0.06,1970-01-01 00:04:58.661
298674,0.43,0.49,0.0,1970-01-01 00:04:58.674
298687,0.49,0.49,0.06,1970-01-01 00:04:58.687
298701,0.73,0.49,0.0,1970-01-01 00:04:58.701
298714,0.49,0.49,0.0,1970-01-01 00:04:58.714
298727,0.73,0.49,0.06,1970-01-01 00:04:58.727
298740,0.73,0.49,0.06,1970-01-01 00:04:58.740
298753,0.43,0.49,0.06,1970-01-01 00:04:58.753
298766,0.85,0.49,0.12,1970-01-01 00:04:58.766
298779,0.85,0.49,0.12,1970-01-01 00:04:58.779
298792,0.49,0.49,0.06,1970-01-01 00:04:58.792
298805,0.43,0.49,0.0,1970-01-01 00:04:58.805
298819,0.37,0.43,0.06,1970-01-01 00:04:58.819
298832,0.49,0.49,0.0,1970-01-01 00:04:58.832
298844,0.49,0.49,0.06,1970-01-01 00:04:58.844
298857,0.73,0.55,0.06,1970-01-01 00:04:58.857
298870,0.49,0.55,0.06,1970-01-01 00:04:58.870
298883,0.37,0.49,0.06,1970-01-01 00:04:58.883
298896,0.73,0.49,0.06,1970-01-01 00:04:58.896
298909,0.55,0.49,0.06,1970-01-01 00:04:58.909
298922,0.55,0.49,0.06,1970-01-01 00:04:58.922
298935,0.61,0.49,0.0,1970-01-01 00:04:58.935
298948,0.55,0.49,0.06,1970-01-01 00:04:58.948
298961,0.18,0.43,0.0,1970-01-01 00:04:58.961
298974,0.43,0.49,0.0,1970-01-01 00:04:58.974
298987,0.92,0.49,0.0,1970-01-01 00:04:58.987
299000,0.18,0.49,0.0,1970-01-01 00:04:59.000
299013,0.12,0.43,0.06,1970-01-01 00:04:59.013
299025,1.22,0.55,0.12,1970-01-01 00:04:59.025
299038,0.37,0.49,0.06,1970-01-01 00:04:59.038
299051,0.06,0.49,0.06,1970-01-01 00:04:59.051
299064,0.92,0.55,0.06,1970-01-01 00:04:59.064
299077,0.49,0.49,0.06,1970-01-01 00:04:59.077
299090,0.43,0.43,0.06,1970-01-01 00:04:59.090
299103,0.79,0.49,0.06,1970-01-01 00:04:59.103
299116,0.37,0.49,0.06,1970-01-01 00:04:59.116
299129,0.49,0.49,0.06,1970-01-01 00:04:59.129
299142,0.73,0.49,0.06,1970-01-01 00:04:59.142
299157,0.43,0.49,0.06,1970-01-01 00:04:59.157
299170,0.49,0.49,0.06,1970-01-01 00:04:59.170
299183,0.73,0.49,0.06,1970-01-01 00:04:59.183
299196,0.67,0.49,0.06,1970-01-01 00:04:59.196
299209,0.49,0.49,0.0,1970-01-01 00:04:59.209
299222,0.55,0.49,0.0,1970-01-01 00:04:59.222
