timestamp_ms,x,y,z
301046,0.73,0.49,0.00
301059,0.31,0.49,0.00
301072,0.49,0.49,0.06
301085,0.85,0.49,0.06
301098,0.37,0.49,0.00
301111,0.31,0.49,0.00
301124,0.79,0.49,0.06
301137,0.43,0.49,0.00
301151,0.61,0.49,0.00
301163,0.67,0.49,0.06
301176,0.61,0.49,0.06
301189,0.49,0.49,0.06
301202,0.73,0.55,0.06
301215,0.49,0.49,0.06
301228,0.49,0.49,0.06
301241,0.55,0.49,0.06
301254,0.49,0.49,0.00
301267,0.37,0.49,0.00
301280,0.49,0.49,0.06
301293,0.55,0.49,0.06
301306,0.49,0.49,0.00
301319,0.55,0.49,0.06
301332,0.61,0.49,0.00
301345,0.55,0.49,0.06
301358,0.43,0.49,0.06
301373,0.73,0.49,0.06
301386,0.49,0.49,0.00
301399,0.24,0.49,0.06
301412,0.98,0.55,0.00
301425,0.61,0.49,0.06
301439,0.55,0.49,0.00
301452,0.73,0.49,0.06
301465,0.37,0.49,0.06
301478,0.85,0.49,0.06
301491,0.85,0.55,0.06
301504,0.43,0.49,0.06
301518,0.31,0.49,0.06
301531,0.55,0.49,0.00
301544,0.43,0.43,0.00
301557,0.31,0.49,0.00
301570,0.73,0.55,0.06
301582,0.55,0.49,0.00
301595,0.37,0.49,0.06
301607,0.55,0.55,0.06
301620,0.61,0.49,0.06
301633,0.61,0.49,0.00
301646,0.55,0.55,0.00
301659,0.55,0.49,0.00
301671,0.61,0.49,0.06
301684,0.43,0.49,0.06
301698,0.37,0.49,0.06
301711,0.61,0.49,0.06
301725,0.24,0.49,0.06
301738,0.67,0.55,0.06
301751,0.67,0.55,0.06
301764,0.55,0.49,0.06
301777,0.55,0.49,0.06
301790,0.43,0.49,0.06
301803,0.61,0.43,0.06
301816,0.43,0.49,0.06
301829,0.55,0.49,0.00
301842,0.67,0.49,0.00
301855,0.61,0.49,0.06
301868,0.49,0.49,0.06
301881,0.73,0.49,0.00
301894,0.43,0.49,0.06
301907,0.43,0.49,0.00
301920,0.67,0.49,0.00
301933,0.43,0.49,0.06
301946,0.24,0.49,0.06
301959,0.67,0.49,0.06
301972,0.55,0.49,0.00
301985,0.31,0.43,0.00
301998,0.67,0.49,0.06
302012,0.61,0.49,0.06
302025,0.49,0.49,0.06
302038,0.55,0.49,0.06
302051,0.67,0.49,0.06
302064,0.61,0.49,0.06
302076,0.55,0.49,0.06
302090,0.49,0.55,0.06
302103,0.92,0.49,0.06
